# id free-exercise-db<TAB>český název (návrh). Upravuj ručně, pak spusť build.py.
3_4_Sit-Up	Sedy-lehy do tří čtvrtin
Close-Grip_EZ_Bar_Curl	Bicepsový zdvih s EZ činkou úzkým úchopem
Close-Grip_Front_Lat_Pulldown	Stahování kladky úzkým úchopem
Close-Grip_Push-Up_off_of_a_Dumbbell	Kliky úzce o jednoručku
Close-Grip_Standing_Barbell_Curl	Bicepsový zdvih s velkou činkou úzkým úchopem
Cocoons	Kokony (zkracovačky s koleny k hrudi)
Conans_Wheel	Conanovo kolo
Concentration_Curls	Koncentrovaný zdvih
Cross-Body_Crunch	Zkracovačky přes tělo
Cross_Body_Hammer_Curl	Kladivový zdvih přes tělo
Cross_Over_-_With_Bands	Rozpažování s gumou (crossover)
Crossover_Reverse_Lunge	Zkřížený výpad vzad
Crucifix	Krucifix (výdrž v upažení)
Crunch_-_Hands_Overhead	Zkracovačky s rukama nad hlavou
Crunch_-_Legs_On_Exercise_Ball	Zkracovačky s nohama na míči
Crunches	Zkracovačky
Cuban_Press	Kubánský tlak
Dancers_Stretch	Protažení tanečníka
Dead_Bug	Brouk (dead bug)
Deadlift_with_Bands	Mrtvý tah s gumami
Deadlift_with_Chains	Mrtvý tah s řetězy
Decline_Barbell_Bench_Press	Bench press na lavici hlavou dolů
Decline_Close-Grip_Bench_To_Skull_Crusher	Bench press úzkým úchopem s francouzským tlakem hlavou dolů
Decline_Crunch	Zkracovačky na šikmé lavici
Decline_Dumbbell_Bench_Press	Tlak s jednoručkami na lavici hlavou dolů
Decline_Dumbbell_Flyes	Rozpažování hlavou dolů
Decline_Dumbbell_Triceps_Extension	Tricepsové extenze s jednoručkami hlavou dolů
Decline_EZ_Bar_Triceps_Extension	Tricepsové extenze s EZ činkou hlavou dolů
Decline_Oblique_Crunch	Šikmé zkracovačky na šikmé lavici
Decline_Push-Up	Kliky s nohama nahoře
Decline_Reverse_Crunch	Obrácené zkracovačky na šikmé lavici
Decline_Smith_Press	Tlak hlavou dolů v multipressu
Deficit_Deadlift	Mrtvý tah z vyvýšení (deficit)
Depth_Jump_Leap	Seskok a výskok (depth jump)
Dip_Machine	Tricepsový stroj (dipy)
Dips_-_Chest_Version	Kliky na bradlech (hrudník)
Dips_-_Triceps_Version	Kliky na bradlech (triceps)
Donkey_Calf_Raises	Oslí výpony
Double_Kettlebell_Alternating_Hang_Clean	Střídavé přemístění dvou kettlebellů ze visu
Double_Kettlebell_Jerk	Nadhoz se dvěma kettlebelly
Double_Kettlebell_Push_Press	Push press se dvěma kettlebelly
Double_Kettlebell_Snatch	Trh se dvěma kettlebelly
Double_Kettlebell_Windmill	Mlýnek se dvěma kettlebelly
Double_Leg_Butt_Kick	Zakopávání s výskokem
Downward_Facing_Balance	Váha ve vzporu na míči
Drag_Curl	Drag curl
Drop_Push	Kliky s dopadem (drop push)
Dumbbell_Alternate_Bicep_Curl	Střídavý bicepsový zdvih s jednoručkami
Dumbbell_Bench_Press	Bench press s jednoručkami
Dumbbell_Bench_Press_with_Neutral_Grip	Bench press s jednoručkami neutrálním úchopem
Dumbbell_Bicep_Curl	Bicepsový zdvih s jednoručkami
Dumbbell_Clean	Přemístění s jednoručkami
Dumbbell_Floor_Press	Tlak s jednoručkami na zemi
Dumbbell_Flyes	Rozpažování s jednoručkami
Dumbbell_Incline_Row	Přítahy jednoruček na šikmé lavici
Dumbbell_Incline_Shoulder_Raise	Předsun ramen s jednoručkami na šikmé lavici
Dumbbell_Lunges	Výpady s jednoručkami
Dumbbell_Lying_One-Arm_Rear_Lateral_Raise	Jednoruční zapažování vleže na boku
Dumbbell_Lying_Pronation	Pronace s jednoručkou vleže
Dumbbell_Lying_Rear_Lateral_Raise	Zapažování vleže na lavici
Dumbbell_Lying_Supination	Supinace s jednoručkou vleže
Dumbbell_One-Arm_Shoulder_Press	Jednoruční tlak s jednoručkou nad hlavu
Dumbbell_One-Arm_Triceps_Extension	Jednoruční tricepsová extenze
Dumbbell_One-Arm_Upright_Row	Jednoruční přítah jednoručky k bradě
Dumbbell_Prone_Incline_Curl	Bicepsový zdvih vleže na šikmé lavici
Dumbbell_Raise	Zdvihy jednoruček do upažení
Dumbbell_Rear_Lunge	Výpady vzad s jednoručkami
Dumbbell_Scaption	Zdvihy jednoruček do Y (scaption)
Dumbbell_Seated_Box_Jump	Výskok na bednu ze sedu s jednoručkami
Dumbbell_Seated_One-Leg_Calf_Raise	Jednonožné výpony vsedě s jednoručkou
Dumbbell_Shoulder_Press	Tlak s jednoručkami nad hlavu
Dumbbell_Shrug	Krčení ramen s jednoručkami
Dumbbell_Side_Bend	Úklony s jednoručkou
Dumbbell_Squat	Dřep s jednoručkami
Dumbbell_Squat_To_A_Bench	Dřep s jednoručkami na lavici
Dumbbell_Step_Ups	Výstupy na lavici s jednoručkami
Dumbbell_Tricep_Extension_-Pronated_Grip	Tricepsové extenze s jednoručkami nadhmatem
Dynamic_Back_Stretch	Dynamické protažení zad
Dynamic_Chest_Stretch	Dynamické protažení hrudníku
EZ-Bar_Curl	Bicepsový zdvih s EZ činkou
EZ-Bar_Skullcrusher	Francouzský tlak s EZ činkou
Elbow_Circles	Kroužení lokty
Elbow_to_Knee	Loket ke koleni
Elbows_Back	Lokty vzad (protažení)
Elevated_Back_Lunge	Výpady vzad z vyvýšení s činkou
Elevated_Cable_Rows	Veslování na kladce z vyvýšení
Elliptical_Trainer	Eliptický trenažér
Exercise_Ball_Crunch	Zkracovačky na gymnastickém míči
Exercise_Ball_Pull-In	Přitahování kolen na míči
Extended_Range_One-Arm_Kettlebell_Floor_Press	Jednoruční tlak s kettlebellem na zemi v plném rozsahu
External_Rotation	Vnější rotace ramene s jednoručkou
External_Rotation_with_Band	Vnější rotace ramene s gumou
External_Rotation_with_Cable	Vnější rotace ramene na kladce
Face_Pull	Face pull na kladce
Farmers_Walk	Farmářská chůze
Fast_Skipping	Rychlý skipink
Finger_Curls	Zdvihy prsty s velkou činkou
Flat_Bench_Cable_Flyes	Rozpažování na kladkách vleže na lavici
Flat_Bench_Leg_Pull-In	Přitahování kolen vsedě na lavici
Flat_Bench_Lying_Leg_Raise	Zvedání nohou vleže na lavici
Flexor_Incline_Dumbbell_Curls	Bicepsový zdvih na šikmé lavici s vytočením zápěstí
Floor_Glute-Ham_Raise	Glute ham raise na zemi
Floor_Press	Tlak s velkou činkou na zemi
Floor_Press_with_Chains	Tlak s velkou činkou na zemi s řetězy
Flutter_Kicks	Kmitání nohama
Foot-SMR	Masáž chodidla míčkem
Forward_Drag_with_Press	Tažení saní s tlakem
Frankenstein_Squat	Frankensteinův dřep
Freehand_Jump_Squat	Výskok z dřepu
Frog_Hops	Žabí skoky
Frog_Sit-Ups	Žabí sedy-lehy
Front_Barbell_Squat	Přední dřep
Front_Barbell_Squat_To_A_Bench	Přední dřep na lavici
Front_Box_Jump	Výskok vpřed na bednu
Front_Cable_Raise	Předpažování na kladce
Front_Cone_Hops_or_hurdle_hops	Přeskoky kuželů
Front_Dumbbell_Raise	Předpažování s jednoručkami
Front_Incline_Dumbbell_Raise	Předpažování vleže na šikmé lavici
Front_Leg_Raises	Švihy nohou vpřed
Front_Plate_Raise	Předpažování s kotoučem
Front_Raise_And_Pullover	Předpažování a pullover s velkou činkou
Front_Squat_Clean_Grip	Přední dřep (úchop na přemístění)
Front_Squats_With_Two_Kettlebells	Přední dřep se dvěma kettlebelly
Front_Two-Dumbbell_Raise	Předpažování s jednoručkami oběma rukama
Full_Range-Of-Motion_Lat_Pulldown	Stahování kladky v plném rozsahu
Gironda_Sternum_Chins	Girondovy shyby k hrudní kosti
Glute_Ham_Raise	Glute ham raise
Glute_Kickback	Zanožování v kleku
Goblet_Squat	Goblet dřep
Good_Morning	Předklony s činkou (good morning)
Good_Morning_off_Pins	Předklony s činkou ze stojanu (good morning)
Gorilla_Chin_Crunch	Gorilí shyb se zkracovačkou
Groin_and_Back_Stretch	Protažení třísel a zad
Groiners	Groiners (výpad do kliku)
Hack_Squat	Hack dřep na stroji
Hammer_Curls	Kladivový zdvih s jednoručkami
Hammer_Grip_Incline_DB_Bench_Press	Tlak s jednoručkami na šikmé lavici neutrálním úchopem
Hamstring-SMR	Masáž válcem – hamstringy
Hamstring_Stretch	Protažení hamstringů
Handstand_Push-Ups	Kliky ve stoji na rukou
Hang_Clean	Přemístění ze visu
Hang_Clean_-_Below_the_Knees	Přemístění ze visu pod koleny
Hang_Snatch	Trh ze visu
Hang_Snatch_-_Below_Knees	Trh ze visu pod koleny
Hanging_Bar_Good_Morning	Předklony s činkou zavěšenou (good morning)
Hanging_Leg_Raise	Zvedání nohou ve visu
Hanging_Pike	Zvedání propnutých nohou ve visu (pike)
Heaving_Snatch_Balance	Snatch balance s podřepem
Heavy_Bag_Thrust	Odhod boxovacího pytle
High_Cable_Curls	Bicepsový zdvih na horních kladkách
Hip_Circles_prone	Kroužení kyčlí vleže
Hip_Extension_with_Bands	Zanožování s gumou
Hip_Flexion_with_Band	Přednožování s gumou
Hip_Lift_with_Band	Zvedání pánve s gumou
Hug_A_Ball	Objetí míče (protažení zad)
Hug_Knees_To_Chest	Kolena k hrudi (protažení)
Hurdle_Hops	Přeskoky překážek
Hyperextensions_Back_Extensions	Zakláňění na hyperextenzi
Hyperextensions_With_No_Hyperextension_Bench	Zakláňění bez hyperextenzní lavice
IT_Band_and_Glute_Stretch	Protažení iliotibiálního pruhu a hýždí
Iliotibial_Tract-SMR	Masáž válcem – iliotibiální pruh
Inchworm	Píďalka (inchworm)
Incline_Barbell_Triceps_Extension	Tricepsové extenze s velkou činkou na šikmé lavici
Incline_Bench_Pull	Přítahy velké činky vleže na šikmé lavici
Incline_Cable_Chest_Press	Tlak na hrudník na kladkách na šikmé lavici
Incline_Cable_Flye	Rozpažování na kladkách na šikmé lavici
Incline_Dumbbell_Bench_With_Palms_Facing_In	Tlak s jednoručkami na šikmé lavici dlaněmi k sobě
Incline_Dumbbell_Curl	Bicepsový zdvih vsedě na šikmé lavici
Incline_Dumbbell_Flyes	Rozpažování na šikmé lavici
Incline_Dumbbell_Flyes_-_With_A_Twist	Rozpažování na šikmé lavici s vytočením
Incline_Dumbbell_Press	Tlak s jednoručkami na šikmé lavici
Incline_Hammer_Curls	Kladivový zdvih vsedě na šikmé lavici
Incline_Inner_Biceps_Curl	Bicepsový zdvih na šikmé lavici s pažemi od těla
Incline_Push-Up	Kliky s rukama na vyvýšené podložce
Incline_Push-Up_Close-Grip	Kliky úzce s rukama na vyvýšené podložce
Incline_Push-Up_Depth_Jump	Výskok z kliku na vyvýšenou podložku
Incline_Push-Up_Medium	Kliky na vyvýšené podložce středním úchopem
Incline_Push-Up_Reverse_Grip	Kliky na vyvýšené podložce podhmatem
Incline_Push-Up_Wide	Kliky široce s rukama na vyvýšené podložce
Intermediate_Groin_Stretch	Protažení třísel (pokročilé)
Intermediate_Hip_Flexor_and_Quad_Stretch	Protažení flexorů kyčle a stehna (pokročilé)
Internal_Rotation_with_Band	Vnitřní rotace ramene s gumou
Inverted_Row	Přítahy ve visu vzad (australské shyby)
Inverted_Row_with_Straps	Přítahy ve visu vzad v popruzích (TRX)
Iron_Cross	Železný kříž s jednoručkami
Iron_Crosses_stretch	Železný kříž (protažení)
Isometric_Chest_Squeezes	Izometrické stlačování dlaní
Isometric_Neck_Exercise_-_Front_And_Back	Izometrické posilování krku – vpřed a vzad
Isometric_Neck_Exercise_-_Sides	Izometrické posilování krku – do stran
Isometric_Wipers	Stěrače (izometrické)
JM_Press	JM press
Jackknife_Sit-Up	Sklapovačky (jackknife)
Janda_Sit-Up	Jandovy sedy-lehy
Jefferson_Squats	Jeffersonův dřep
Jerk_Balance	Jerk balance (nácvik nadhozu)
Jerk_Dip_Squat	Podřep pro nadhoz
Jogging_Treadmill	Běh na páse
Keg_Load	Nakládání sudu
Kettlebell_Arnold_Press	Arnoldův tlak s kettlebelly
Kettlebell_Dead_Clean	Přemístění kettlebellu ze země
Kettlebell_Figure_8	Osmičky s kettlebellem
Kettlebell_Halo	Halo s kettlebellem
Kettlebell_Halo_With_Overhead_Extension	Halo s kettlebellem a tricepsovou extenzí
Kettlebell_Hang_Clean	Přemístění kettlebellu ze visu
Kettlebell_One-Legged_Deadlift	Jednonožný mrtvý tah s kettlebellem
Kettlebell_Overhead_Triceps_Extension	Tricepsové extenze s kettlebellem nad hlavou
Kettlebell_Pass_Between_The_Legs	Podávání kettlebellu mezi nohama
Kettlebell_Pirate_Ships	Pirátské lodě s kettlebellem
Kettlebell_Pistol_Squat	Dřep na jedné noze s kettlebellem (pistol)
Kettlebell_Seated_Press	Tlak s kettlebelly nad hlavu vsedě
Kettlebell_Seesaw_Press	Střídavý tlak s kettlebelly (houpačka)
Kettlebell_Sumo_High_Pull	Sumo přítah s kettlebellem k bradě
Kettlebell_Thruster	Thruster s kettlebellem
Kettlebell_Turkish_Get-Up_Lunge_style	Turecký vstávání s kettlebellem (výpadem)
Kettlebell_Turkish_Get-Up_Squat_style	Turecký vstávání s kettlebellem (dřepem)
Kettlebell_Windmill	Mlýnek s kettlebellem
Kipping_Muscle_Up	Muscle up s kmihem
Knee_Across_The_Body	Koleno přes tělo (protažení)
Knee_Circles	Kroužení koleny
Knee_Hip_Raise_On_Parallel_Bars	Přitahování kolen na bradlech
Knee_Tuck_Jump	Výskok s koleny k hrudi
Kneeling_Arm_Drill	Pažní dril v kleku
Kneeling_Cable_Crunch_With_Alternating_Oblique_Twists	Zkracovačky na kladce vkleče se střídavou rotací
Kneeling_Cable_Triceps_Extension	Tricepsové extenze na kladce vkleče
Kneeling_Forearm_Stretch	Protažení předloktí v kleku
Kneeling_High_Pulley_Row	Přítahy horní kladky vkleče
Kneeling_Hip_Flexor	Protažení flexorů kyčle v kleku
Kneeling_Jump_Squat	Výskok z kleku do dřepu s činkou
Kneeling_Single-Arm_High_Pulley_Row	Jednoruční přítahy horní kladky vkleče
Kneeling_Squat	Dřep z kleku s činkou
Landmine_180s	Landmine 180
Landmine_Linear_Jammer	Landmine jammer (tlak osy)
Lateral_Bound	Boční odrazy
Lateral_Box_Jump	Boční výskok na bednu
Lateral_Cone_Hops	Boční přeskoky kuželů
Lateral_Raise_-_With_Bands	Upažování s gumou
Latissimus_Dorsi-SMR	Masáž válcem – široký sval zádový
Leg-Over_Floor_Press	Tlak s kettlebellem na zemi s nohou přes
Leg-Up_Hamstring_Stretch	Protažení hamstringů s nohou nahoře
Leg_Extensions	Předkopávání na stroji
Leg_Lift	Zakopávání ve stoje vlastní vahou
Leg_Press	Leg press
Leg_Pull-In	Přitahování kolen vleže
Leverage_Chest_Press	Tlak na hrudník na pákovém stroji
Leverage_Deadlift	Mrtvý tah na pákovém stroji
Leverage_Decline_Chest_Press	Tlak na hrudník dolů na pákovém stroji
Leverage_High_Row	Horní přítahy na pákovém stroji
Leverage_Incline_Chest_Press	Tlak na hrudník šikmo nahoru na pákovém stroji
Leverage_Iso_Row	Iso-laterální veslování na pákovém stroji
Leverage_Shoulder_Press	Tlak na ramena na pákovém stroji
Leverage_Shrug	Krčení ramen na pákovém stroji
Linear_3-Part_Start_Technique	Nácvik startu ve třech fázích
Linear_Acceleration_Wall_Drill	Akcelerační dril u zdi
Linear_Depth_Jump	Seskok a výskok vpřed
Log_Lift	Tlak klády nad hlavu
London_Bridges	London bridges (šplh na laně vleže)
Looking_At_Ceiling	Pohled ke stropu (protažení krku)
Low_Cable_Crossover	Rozpažování na kladkách zdola nahoru
Low_Cable_Triceps_Extension	Tricepsové extenze na spodní kladce
Low_Pulley_Row_To_Neck	Přítahy spodní kladky ke krku
Lower_Back-SMR	Masáž válcem – spodní záda
Lower_Back_Curl	Zaklánění vleže na břiše (protažení)
Lunge_Pass_Through	Výpady s podáváním kettlebellu
Lunge_Sprint	Výpadový sprint na stroji
Lying_Bent_Leg_Groin	Protažení třísel vleže s pokrčenou nohou
Lying_Cable_Curl	Bicepsový zdvih vleže na kladce
Lying_Cambered_Barbell_Row	Přítahy prohnuté činky vleže na lavici
Lying_Close-Grip_Bar_Curl_On_High_Pulley	Bicepsový zdvih vleže na horní kladce úzkým úchopem
Lying_Close-Grip_Barbell_Triceps_Extension_Behind_The_Head	Tricepsové extenze vleže za hlavu úzkým úchopem
Lying_Close-Grip_Barbell_Triceps_Press_To_Chin	Tricepsový tlak vleže k bradě úzkým úchopem
Lying_Crossover	Rotace vleže (protažení)
Lying_Dumbbell_Tricep_Extension	Tricepsové extenze s jednoručkami vleže
Lying_Face_Down_Plate_Neck_Resistance	Posilování krku s kotoučem vleže na břiše
Lying_Face_Up_Plate_Neck_Resistance	Posilování krku s kotoučem vleže na zádech
Lying_Glute	Protažení hýždí vleže
Lying_Hamstring	Protažení hamstringů vleže
Lying_High_Bench_Barbell_Curl	Bicepsový zdvih vleže na vysoké lavici
Lying_Leg_Curls	Zakopávání vleže na stroji
Lying_Machine_Squat	Dřep vleže na stroji
Lying_One-Arm_Lateral_Raise	Jednoruční upažování vleže na boku
Lying_Prone_Quadriceps	Protažení stehna vleže na břiše
Lying_Rear_Delt_Raise	Zapažování vleže
Lying_Supine_Dumbbell_Curl	Bicepsový zdvih s jednoručkami vleže na zádech
Lying_T-Bar_Row	T-bar přítahy vleže
Lying_Triceps_Press	Francouzský tlak vleže (skullcrusher)
Machine_Bench_Press	Bench press na stroji
Machine_Bicep_Curl	Bicepsový zdvih na stroji
Machine_Preacher_Curls	Scottův zdvih na stroji
Machine_Shoulder_Military_Press	Tlak na ramena na stroji
Machine_Triceps_Extension	Tricepsové extenze na stroji
Medicine_Ball_Chest_Pass	Přihrávka medicinbalem od hrudi
