# id free-exercise-db<TAB>id cviku ve výchozí databázi appky (EX_DB). Stejný cvik → v hledání „už máš“.
Ab_Crunch_Machine	crunch-machine
Decline_Barbell_Bench_Press	decline-bench-press-barbell
Decline_Crunch	decline-crunch
Decline_Dumbbell_Bench_Press	decline-bench-press-dumbbell
Decline_Dumbbell_Flyes	decline-chest-fly-dumbbell
Decline_Push-Up	decline-push-up
Decline_Smith_Press	decline-bench-press-smith-machine
Dips_-_Chest_Version	chest-dip
Dips_-_Triceps_Version	triceps-dip
Drag_Curl	drag-curl
Dumbbell_Alternate_Bicep_Curl	bicep-curl-dumbbell
Dumbbell_Bench_Press	bench-press-dumbbell
Dumbbell_Bicep_Curl	bicep-curl-dumbbell
Dumbbell_Floor_Press	floor-press-dumbbell
Dumbbell_Flyes	chest-fly-dumbbell
Dumbbell_Incline_Row	chest-supported-row-dumbbell
Dumbbell_Lunges	lunge-dumbbell
Dumbbell_Lying_Rear_Lateral_Raise	chest-supported-reverse-fly-dumbbell
Dumbbell_One-Arm_Triceps_Extension	single-arm-tricep-extension-dumbbell
Dumbbell_Rear_Lunge	reverse-lunge-dumbbell
Dumbbell_Shoulder_Press	shoulder-press-dumbbell
Dumbbell_Shrug	shrug-dumbbell
Dumbbell_Side_Bend	side-bend-dumbbell
Dumbbell_Squat	squat-dumbbell
Dumbbell_Step_Ups	step-up-dumbbell
EZ-Bar_Curl	ez-bar-curl
Elbow_to_Knee	elbow-to-knee
Face_Pull	face-pull
Farmers_Walk	farmers-walk
Floor_Press	floor-press-barbell
Flutter_Kicks	flutter-kicks
Freehand_Jump_Squat	jump-squat
Frog_Hops	frog-jumps
Front_Barbell_Squat	front-squat-barbell
Front_Cable_Raise	front-raise-cable
Front_Dumbbell_Raise	front-raise-dumbbell
Front_Plate_Raise	plate-front-raise
Front_Two-Dumbbell_Raise	front-raise-dumbbell
Gironda_Sternum_Chins	sternum-pull-up-gironda
Glute_Ham_Raise	glute-ham-raise
Glute_Kickback	glute-kickback-on-floor
Goblet_Squat	goblet-squat
Good_Morning	good-morning-barbell
Hack_Squat	hack-squat-machine
Hammer_Curls	hammer-curl-dumbbell
Handstand_Push-Ups	handstand-push-up
Hanging_Leg_Raise	hanging-leg-raise
Hyperextensions_Back_Extensions	back-extension-hyperextension
Incline_Dumbbell_Curl	seated-incline-curl-dumbbell
Incline_Dumbbell_Flyes	incline-chest-fly-dumbbell
Incline_Dumbbell_Press	incline-bench-press-dumbbell
Incline_Hammer_Curls	seated-incline-hammer-curl-dumbbell
Incline_Push-Up	incline-push-ups
Incline_Push-Up_Medium	incline-push-ups
Inverted_Row	inverted-row
JM_Press	jm-press-barbell
Jackknife_Sit-Up	jackknife-sit-up
Kettlebell_Halo	kettlebell-halo
Knee_Hip_Raise_On_Parallel_Bars	knee-raise-parallel-bars
Landmine_180s	landmine-180
Lateral_Box_Jump	lateral-box-jump
Lateral_Raise_-_With_Bands	lateral-raise-band
Leg_Extensions	leg-extension-machine
Leg_Press	leg-press-machine
Leg_Pull-In	lying-knee-raise
Leverage_Chest_Press	chest-press-machine
Leverage_Incline_Chest_Press	incline-chest-press-machine
Leverage_Iso_Row	iso-lateral-row-machine
Leverage_Shrug	shrug-machine
Low_Cable_Crossover	low-cable-fly-crossovers
Lying_Dumbbell_Tricep_Extension	skullcrusher-dumbbell
Lying_Leg_Curls	lying-leg-curl-machine
Lying_T-Bar_Row	chest-supported-t-bar-row
Lying_Triceps_Press	skullcrusher-barbell
Machine_Bench_Press	chest-press-machine
Machine_Bicep_Curl	bicep-curl-machine
Machine_Preacher_Curls	preacher-curl-machine
Machine_Shoulder_Military_Press	seated-shoulder-press-machine
Machine_Triceps_Extension	triceps-extension-machine
Oblique_Crunches	oblique-crunch
Oblique_Crunches_-_On_The_Floor	oblique-crunch
One-Arm_Dumbbell_Row	dumbbell-row
One-Legged_Cable_Kickback	glute-kickback-cable
One_Arm_Dumbbell_Preacher_Curl	preacher-curl-dumbbell
One_Arm_Lat_Pulldown	single-arm-lat-pulldown
Overhead_Cable_Curl	overhead-curl-cable
Pallof_Press	pallof-press
Palms-Up_Barbell_Wrist_Curl_Over_A_Bench	seated-palms-up-wrist-curl
Plank	plank
Preacher_Curl	preacher-curl-barbell
Pull_Through	cable-pull-through
Pullups	pull-up
Push-Ups_With_Feet_Elevated	decline-push-up
Push_Press	push-press
Pushups	push-up
Rack_Pulls	rack-pull
Reverse_Barbell_Curl	reverse-curl-barbell
Reverse_Cable_Curl	reverse-curl-cable
Reverse_Crunch	reverse-crunch
Reverse_Flyes	rear-delt-reverse-fly-dumbbell
Reverse_Grip_Bent-Over_Rows	underhand-barbell-rows
Reverse_Grip_Triceps_Pushdown	reverse-grip-triceps-pushdown
Reverse_Hyperextension	reverse-hyperextension
Reverse_Machine_Flyes	rear-delt-fly-machine
Ring_Dips	ring-dips
Romanian_Deadlift	romanian-deadlift-barbell
Rope_Straight-Arm_Pulldown	rope-straight-arm-pulldown
Russian_Twist	russian-twist
Scapular_Pull-Up	scapular-pull-ups
Seated_Barbell_Military_Press	seated-overhead-press-barbell
Seated_Cable_Rows	seated-cable-row-close-grip
Seated_Calf_Raise	seated-calf-raise
Seated_Dumbbell_Press	seated-overhead-press-dumbbell
Seated_Leg_Curl	seated-leg-curl-machine
Seated_Palm-Up_Barbell_Wrist_Curl	wrist-curl-barbell
Seated_Palms-Down_Barbell_Wrist_Curl	reverse-wrist-curl-barbell
Seated_Side_Lateral_Raise	seated-lateral-raise-dumbbell
Seated_Triceps_Press	seated-triceps-press
Side_Bridge	side-plank
Side_Lateral_Raise	lateral-raise-dumbbell
Single-Arm_Cable_Crossover	single-arm-cable-crossover
Single-Arm_Push-Up	one-arm-push-up
Single-Leg_Leg_Extension	single-leg-extensions
Single_Leg_Glute_Bridge	single-leg-glute-bridge
Sit-Up	sit-up
Smith_Machine_Bench_Press	bench-press-smith-machine
Smith_Machine_Bent_Over_Row	bent-over-row-smith-machine
Smith_Machine_Calf_Raise	standing-calf-raise-smith
Smith_Machine_Decline_Press	decline-bench-press-smith-machine
Smith_Machine_Incline_Bench_Press	incline-bench-press-smith-machine
Smith_Machine_Overhead_Shoulder_Press	overhead-press-smith-machine
Smith_Machine_Squat	squat-smith-machine
Spider_Curl	spider-curl-barbell
Split_Squat_with_Dumbbells	split-squat-dumbbell
Squats_-_With_Bands	squat-band
Standing_Barbell_Calf_Raise	standing-calf-raise-barbell
Standing_Biceps_Cable_Curl	bicep-curl-cable
Standing_Cable_Lift	cable-twist-down-to-up
Standing_Cable_Wood_Chop	cable-wood-chop
Standing_Calf_Raises	standing-calf-raise-machine
Standing_Dumbbell_Calf_Raise	standing-calf-raise-dumbbell
Standing_Dumbbell_Press	overhead-press-dumbbell
Standing_Dumbbell_Reverse_Curl	reverse-curl-dumbbell
Standing_Dumbbell_Triceps_Extension	overhead-triceps-extension-dumbbell
Standing_Dumbbell_Upright_Row	upright-row-dumbbell
Standing_Leg_Curl	standing-leg-curls
Standing_Military_Press	standing-military-press-barbell
Standing_One-Arm_Cable_Curl	single-arm-curl-cable
Standing_One-Arm_Dumbbell_Triceps_Extension	single-arm-tricep-extension-dumbbell
Standing_Overhead_Barbell_Triceps_Extension	triceps-extension-barbell
Standing_Palms-Up_Barbell_Behind_The_Back_Wrist_Curl	behind-the-back-wrist-curl-barbell
Stiff-Legged_Barbell_Deadlift	stiff-leg-deadlift
Straight-Arm_Dumbbell_Pullover	pullover-dumbbell
Straight-Arm_Pulldown	straight-arm-lat-pulldown-cable
Sumo_Deadlift	sumo-deadlift-barbell
Superman	superman
Suspended_Row	low-row-suspension
Svend_Press	plate-squeeze-svend-press
T-Bar_Row_with_Handle	t-bar-row
Thigh_Abductor	hip-abduction-machine
Thigh_Adductor	hip-adduction-machine
Trap_Bar_Deadlift	deadlift-trap-bar
Tricep_Dumbbell_Kickback	triceps-kickback-dumbbell
Triceps_Overhead_Extension_with_Rope	overhead-triceps-extension-cable
Triceps_Pushdown	triceps-pushdown
Triceps_Pushdown_-_Rope_Attachment	triceps-rope-pushdown
Two-Arm_Dumbbell_Preacher_Curl	preacher-curl-dumbbell
Underhand_Cable_Pulldowns	lat-pulldown-underhand-cable
Upright_Barbell_Row	upright-row-barbell
Upright_Cable_Row	upright-row-cable
Weighted_Crunches	crunch-weighted
Weighted_Pull_Ups	pull-up-weighted
Weighted_Sissy_Squat	sissy-squat
Wide-Grip_Barbell_Bench_Press	bench-press-wide-grip-barbell
Wide-Grip_Lat_Pulldown	lat-pulldown-wide-grip-cable
Wrist_Roller	wrist-roller
Zercher_Squats	zercher-squat
Zottman_Curl	zottman-curl-dumbbell
